Alloy System & Temper,Al (wt.%),Cu (wt.%),Mg (wt.%),Zn (wt.%),Li (wt.%),Mn (wt.%),Zr (wt.%)
Al 2024-T3,93.5,4.4,1.5,0.2,-,0.6,-
Al 7075-T6,90.0,1.6,2.5,5.6,-,0.1,-
Al 6061-T6,97.5,0.3,1.0,0.1,-,0.15,-
Al-Li 2195-T8,94.0,4.0,0.4,0.1,1.0,0.1,0.11
Al 7050-T7451,89.0,2.3,2.1,6.2,-,0.05,0.12
